"","Year","Herd","Sex","n.risk","n.event","surv","std.err","lower","upper"
"1",2021,"Sex=Female"," Herd=Clear Creek ",15,0,1,0,1,1
"2",2021,"Sex=Female"," Herd=Ebenezer    ",17,1,0.75,0.21650635094611,0.425932268497982,1
"3",2021,"Sex=Female"," Herd=Indianola   ",21,0,1,0,1,1
"4",2021,"Sex=Female"," Herd=Tower Kriley",6,0,1,0,1,1
