"","Year","Herd","Sex","n.risk","n.event","surv","std.err","lower","upper"
"1",2022,"Sex=Female"," Herd=Clear Creek ",16,0,1,0,1,1
"2",2022,"Sex=Female"," Herd=Ebenezer    ",39,3,0.864104179794161,0.0734261971422252,0.731536995907097,1
"3",2022,"Sex=Female"," Herd=Indianola   ",46,5,0.769047619047619,0.0904605995637117,0.610701701957744,0.968450289997283
"4",2022,"Sex=Female"," Herd=Tower Kriley",14,1,0.833333333333333,0.152145154862546,0.58265479547714,1
