"","Year","Herd","Sex","n.risk","n.event","surv","std.err","lower","upper"
"1",2024,"Sex=Female"," Herd=Clear Creek ",50,3,0.910037878787879,0.0495373226583305,0.817946436425277,1
"2",2024,"Sex=Female"," Herd=Ebenezer    ",65,10,0.814907692307692,0.0527687825002093,0.717776857424924,0.925182443697981
"3",2024,"Sex=Female"," Herd=Indianola   ",71,11,0.828169014084507,0.0471659179115338,0.740698235103804,0.925969420993132
"4",2024,"Sex=Female"," Herd=Tower Kriley",22,2,0.9,0.0670820393249937,0.777674202195885,1
